"Countries","Latitude","Longitude","imfGDP","gdpPerCapita","Total_market_cap_of_GDP","Number_of_domestic_companies_listed"
"United States","37.090240","-95.712891","26900000000000.000000","78842.8996100","194.5","4,266"
"China","35.861660","104.195397","17700000000000.000000","12420.1259700","126.7","3,754"
"Germany","51.165691","10.451526","4430000000000.000000","53209.7100200","60.0","438"
"Japan","36.204824","138.252924","4230000000000.000000","34500.6164500","65.1","4,154"
"India","20.593684","78.962880","3730000000000.000000","2588.7276190","120.0","5,270"
"United Kingdom","55.378051","-3.435973","3330000000000.000000","49028.6852200","100.0","1,858"
"France","46.227638","2.213749","3050000000000.000000","46993.4340600","84.9","457"
"Italy","41.871940","12.567380","2190000000000.000000","37242.9986400","36.5","290"
"Brazil","-14.235004","-51.925280","2130000000000.000000","9772.2680320","68.4","345"
"Canada","56.130366","-106.346771","2120000000000.000000","54154.1797900","160.7","3,922"
"Russia","61.524010","105.318756","1860000000000.000000","12937.6756800","46.8","213"
"Mexico","23.634501","-102.552784","1810000000000.000000","14000.2431600","37.1","140"
"South Korea","35.907757","127.766922","1710000000000.000000","33033.7293200","133.5","2,318"
"Australia","-25.274398","133.775136","1690000000000.000000","63211.3387100","129.3","1,902"
"Spain","40.463667","-3.749220","1580000000000.000000","33324.9967300","43.3","2,711"
"Indonesia","-0.789275","113.921327","1420000000000.000000","5065.7608410","46.9","713"
"Turkey","38.963745","35.243322","1150000000000.000000","13385.0500600","33.0","586"
"Netherlands","52.132633","5.291266","1090000000000.000000","61838.1682000","132.3","103"
"Saudi Arabia","23.885942","45.079162","1070000000000.000000","28538.2405500","347.0","207"
"Switzerland","46.818188","8.227512","906000000000.000000","102320.6304000","267.6","236"
"Poland","51.919438","19.145136","842000000000.000000","20938.2362200","29.9","782"
"Taiwan","23.697810","120.960515","752000000000.000000","31395.5441100","267.1","1,627"
"Belgium","50.503887","4.469936","628000000000.000000","53561.2073100","59.1","117"
"Argentina","-38.416097","-63.616672","622000000000.000000","13501.1248700","8.8","91"
"Sweden","60.128161","18.643501","597000000000.000000","55942.3381000","230.4","832"
"Ireland","53.412910","-8.243890","590000000000.000000","115840.7601000","28.5","42"
"Norway","60.472024","8.468946","547000000000.000000","99151.3791800","72.9","186"
"Austria","47.516231","14.550072","526000000000.000000","58613.5516000","30.8","68"
"Israel","31.046051","34.851612","522000000000.000000","56025.2896000","65.2","426"
"Thailand","15.870032","100.992541","512000000000.000000","7125.0929550","108.2","743"
"United Arab Emirates","23.424076","53.847818","509000000000.000000","53084.5291300","58.6","130"
"Singapore","1.352083","103.819836","497000000000.000000","82169.3228600","191.9","459"
"Bangladesh","23.684994","90.356331","446000000000.000000","2554.9279110","27.7","628"
"Philippines","12.879721","121.774017","436000000000.000000","3657.8692980","75.5","268"
"Vietnam","14.058324","108.277199","433000000000.000000","4355.4382370","68.6","745"
"Malaysia","4.210484","101.975766","431000000000.000000","12427.7891400","129.7","927"
"Denmark","56.263920","9.501785","421000000000.000000","70845.3885300","187.5","178"
"Egypt","26.820553","30.802498","398000000000.000000","3479.9284010","11.4","240"
"Nigeria","9.081999","8.675277","390000000000.000000","1701.9342210","13.1","177"
"Hong Kong","22.396428","114.109497","386000000000.000000","51428.8923300","1262.6","2,353"
"South Africa","-30.559482","22.937506","381000000000.000000","6242.2913870","348.3","264"
"Iran","32.427908","53.688046","366000000000.000000","4080.1569260","475.0","367"
"Colombia","4.570868","-74.297333","364000000000.000000","6951.2728260","39.2","65"
"Romania","45.943161","24.966760","350000000000.000000","17860.9547600","10.3","81"
"Chile","-35.675147","-71.542969","344000000000.000000","17518.8372000","73.0","194"
"Pakistan","30.375321","69.345116","341000000000.000000","1389.1613600","15.2","557"
"Czech Republic","49.817492","15.472962","335000000000.000000","31916.5546300","10.9","20"
"Finland","61.924110","25.748151","306000000000.000000","55080.2304800","10.3","134"
"Portugal","39.399872","-8.224454","276000000000.000000","27039.2803800","25.6","40"
"Peru","-9.189967","-75.015152","265000000000.000000","7630.0381240","43.1","199"
"Kazakhstan","48.019573","66.923684","259000000000.000000","13076.9539200","26.6","94"
"New Zealand","-40.900557","174.885971","249000000000.000000","47327.8723000","62.2","122"
"Greece","39.074208","21.824312","242000000000.000000","23526.3115000","26.9","171"
"Qatar","25.354826","51.183884","236000000000.000000","86041.1952800","113.0","47"
"Algeria","28.033886","1.659626","224000000000.000000","4842.5464200","0.2","..."
"Hungary","47.162494","19.503304","204000000000.000000","20393.1108300","18.0","45"
"Ukraine","48.379433","31.165580","173000000000.000000","4570.9794460","3.4","78"
"Kuwait","29.311660","47.481766","160000000000.000000","36714.8881000","86.7","163"
"Morocco","31.791702","-7.092620","147000000000.000000","3855.9899010","58.1","75"
"Slovakia","48.669026","19.699024","133000000000.000000","23329.4615700","5.3","67"
"Ecuador","-1.831239","-78.183406","119000000000.000000","6458.2701100","4.1","26"
"Kenya","-0.023559","37.906193","113000000000.000000","2006.1018060","21.6","60"
"Oman","21.512583","55.923255","108000000000.000000","22972.4795700","22.4","111"
"Bulgaria","42.733883","25.485830","103000000000.000000","15577.1260300","25.6","259"
"Venezuela","6.423750","-66.589730","92210000000.000000","3136.8924060","4.3","37"
"Luxembourg","49.815273","6.129583","89095000000.000000","134667.1826000","70.4","29"
"Costa Rica","9.748917","-83.753428","85590000000.000000","16313.0675700","3.1","10"
"Tanzania","-6.369028","34.888822","84033000000.000000","1210.5174610","10.4","22"
"Panama","8.537981","-80.782127","82348000000.000000","18186.5524000","26.3","34"
"Croatia","45.100000","15.200000","80185000000.000000","20113.4944400","39.7","104"
"Ivory Coast","7.539989","-5.547080","79430000000.000000","2683.1466300","12.0","46"
"Ghana","7.946527","-1.023194","76628000000.000000","2203.3772270","12.8","31"
"Uruguay","-32.522779","-55.765835","76244000000.000000","22271.9725600","1.4","17"
"Serbia","44.016521","21.005859","75015000000.000000","10569.9174400","8.2","..."
"Belarus","53.709807","27.953389","68864000000.000000","7283.3136450","2.6","12"
"Slovenia","46.151241","14.995463","68394000000.000000","32277.0786700","16.0","27"
"Tunisia","33.886917","9.537499","51271000000.000000","4080.5625990","21.8","80"
"Jordan","30.585164","36.238414","50022000000.000000","4393.7059910","41.7","179"
"Bahrain","25.930414","50.637772","44994000000.000000","30021.7787000","69.9","42"
"Paraguay","-23.442503","-58.443832","44142000000.000000","6353.8627400","3.5","55"
"Zimbabwe","-19.015438","29.154857","32424000000.000000","1905.0169500","35.9","69"
"Cyprus","35.126413","33.429859","32032000000.000000","25252.5292300","19.7","92"
"Papua New Guinea","-6.314993","143.955550","31692000000.000000","3013.7541760","7.4","6"
"Cambodia","12.565679","104.990963","30943000000.000000","1807.2232510","10.0","7"
"Zambia","-13.133897","27.849332","29536000000.000000","1397.5124790","13.6","23"
"Trinidad and Tobago","10.691803","-61.222503","27887000000.000000","18129.6320400","44.1","26"
"Botswana","-22.328474","24.684866","20756000000.000000","7631.7409240","16.9","26"
"Malta","35.937496","14.375416","20311000000.000000","37841.4129700","34.7","27"
"Jamaica","18.109581","-77.297508","18761000000.000000","6641.6779180","84.7","89"
"Mauritius","-20.348404","57.552152","14819000000.000000","11381.9127500","56.4","93"
"Rwanda","-1.940278","29.873888","13927000000.000000","966.1524075","31.0","4"
"Namibia","-22.957640","18.490410","12647000000.000000","4780.0196920","17.5","13"
"Montenegro","42.708678","19.374390","7058000000.000000","11272.9235800","92.6","112"
"Barbados","13.193887","-59.543198","6220000000.000000","22032.5954900","63.7","15"
"Eswatini","-26.522503","31.465866","4648000000.000000","3803.3672240","6.8","6"
"Seychelles","-4.679574","55.491977","2085000000.000000","19258.6571600","71.9","40"
"Bermuda","32.321384","-64.757370","0.000000","113093.1431000","39.6","13"
"Cayman Islands","19.513469","-80.566956","0.000000","83116.7213700","6.4","4"
"Sri Lanka","7.873054","80.771797","0.000000","3886.6334490","19.8","283"
"Palestine","31.947400","35.227200","0.000000","3282.4242860","22.2","46"
"Lebanon","33.854721","35.862285","0.000000","7270.4654430","20.1","10"
